"","lat","lon","elevation","distance_to_ocean"
"1",48.3699486031571,-123.623560899813,0,NA
"2",48.3752138775134,-123.851950168284,2,NA
"3",48.3811015602132,-123.8657429119,0,NA
"4",48.3820842666896,-123.897186258963,2,NA
"5",48.384125175255,-123.699017773071,2,NA
"6",48.3871516279938,-123.684889143666,0,NA
"7",48.3898334094136,-123.708725683023,2,NA
"8",48.3910311701635,-123.658479824585,2,NA
"9",48.3993442724698,-123.738487558036,36,NA
"10",48.4016814052722,-123.749977687401,41,NA
"11",48.4034075514996,-123.704578527856,2,NA
"12",48.4135493410205,-123.712853675725,3,NA
"13",48.4218951735094,-124.055184807258,0,NA
"14",48.4308634140438,-124.089121469719,0,NA
"15",48.4331378798045,-124.092102377757,0,NA
"16",48.4546890881256,-123.463993583754,0,NA
"17",48.4563725027359,-123.432840269338,3,NA
"18",48.4594715813152,-123.411352340787,3,NA
"19",48.4851728549475,-123.548360638676,0,NA
"20",48.5591149668741,-123.464331842668,0,NA
"21",48.5599781402886,-124.398780383873,0,NA
"22",48.5690059979495,-124.361410589594,2,NA
"23",48.5712950664139,-124.358205226707,2,NA
"24",48.5763728991678,-124.414650319518,0,NA
"25",48.5816871607417,-124.341736602927,2,NA
"26",48.5822916113395,-124.2755779811,3,NA
"27",48.5864070034864,-124.258357036567,7,NA
"28",48.5928402613431,-123.394676253526,0,NA
"29",48.6316192568863,-124.254311389728,68,NA
"30",48.6338930968265,-123.406913842071,4,NA
"31",48.6557618134078,-123.559549842516,3,NA
"32",48.6629667393042,-124.810692244237,6,NA
"33",48.6707600078795,-124.851885041382,4,NA
"34",48.6986971429698,-124.947686650872,5,NA
"35",48.7378233177608,-123.684758078333,8,NA
"36",48.7401247208808,-124.737508033658,2,NA
"37",48.7428265627823,-123.712695760965,17,NA
"38",48.7497966477856,-123.689178079154,4,NA
"39",48.7532489349946,-123.636317313872,0,NA
"40",48.7623524867182,-123.650990561531,2,NA
"41",48.7722094608494,-123.46161160167,7,NA
"42",48.7749494933538,-124.737036962779,4,NA
"43",48.7974619805305,-124.682812890652,2,NA
"44",48.7984570521946,-125.127194016619,4,NA
"45",48.8062978314933,-124.139816237168,172,NA
"46",48.807947117493,-123.696716176587,5,NA
"47",48.8137891116814,-124.669955558056,2,NA
"48",48.8160323064933,-124.12604615764,167,NA
"49",48.8165535674539,-124.135268213182,164,NA
"50",48.8234438892896,-124.182657631211,167,NA
"51",48.8271397212551,-124.054055805589,163,NA
"52",48.8376972711699,-125.106174127958,0,NA
"53",48.8672070524686,-123.702229439063,9,NA
"54",48.8768900909133,-125.05265958653,4,NA
"55",48.8854373555643,-123.664885095095,0,NA
"56",48.891713267891,-124.997533393363,4,NA
"57",48.8970694608533,-125.01691780365,2,NA
"58",48.897925829159,-123.673180799685,4,NA
"59",48.9136019490281,-125.003784333129,4,NA
"60",48.917393263418,-124.414901041302,164,NA
"61",48.9272016643765,-125.50411534584,3,NA
"62",48.9358238775381,-125.084382241941,0,NA
"63",48.9359891004738,-124.981697948857,0,NA
"64",48.943724124003,-123.744027366804,0,NA
"65",48.948104787876,-125.446494597107,6,NA
"66",48.9505679850027,-125.446204635726,9,NA
"67",48.9515428313522,-125.443520946598,0,NA
"68",48.9527036187956,-124.975981901487,0,NA
"69",48.954926780144,-125.248904457178,4,NA
"70",48.9553571920084,-125.550656107126,11,NA
"71",48.9577182327267,-125.21904246056,0,NA
"72",48.9617546063832,-123.773545062162,4,NA
"73",48.9629849233803,-125.558485383307,0,NA
"74",48.96552573988,-125.271844055374,0,NA
"75",48.9666565340045,-125.56288151193,4,NA
"76",48.9679981704862,-125.284624643905,0,NA
"77",48.9780231420827,-125.574411292652,1,NA
"78",48.9782182791095,-125.394186498607,0,NA
"79",48.9810925186597,-123.804404007079,5,NA
"80",48.9849514674454,-125.393489790318,3,NA
"81",48.9973639666329,-125.052604956774,7,NA
"82",49.0017264633171,-123.823741676566,5,NA
"83",49.002894102354,-125.639938344802,3,NA
"84",49.0055175745672,-125.004353446851,0,NA
"85",49.0062656616578,-124.857704400342,0,NA
"86",49.0081808337582,-125.141008291687,0,NA
"87",49.0126573932246,-122.777982038926,3,NA
"88",49.0145883544615,-125.051246059207,0,NA
"89",49.0152416767743,-121.408537436781,621,NA
"90",49.0152963270925,-123.848048472941,5,NA
"91",49.0164967691137,-125.277966651984,3,NA
"92",49.0189050876017,-125.437407513848,33,NA
"93",49.0224700829005,-123.791816279174,7,NA
"94",49.0252142400857,-125.023678698004,0,NA
"95",49.0267184875673,-123.856833368349,0,NA
"96",49.02744374033,-125.305401175941,6,NA
"97",49.0283340970065,-125.051153905896,5,NA
"98",49.029612767237,-121.402129880483,620,NA
"99",49.032454991917,-125.687203383587,0,NA
"100",49.0357038005651,-125.357480563763,0,NA
"101",49.0376833239534,-125.200541364371,0,NA
"102",49.041077123366,-125.360924342716,5,NA
"103",49.0453431537801,-121.404416622005,622,NA
"104",49.0456959405434,-125.138102491371,8,NA
"105",49.0521951573168,-125.167907194503,6,NA
"106",49.0571397907197,-122.181300436032,6,NA
"107",49.0582178477965,-122.869731350723,2,NA
"108",49.0623320927593,-124.884426248405,0,NA
"109",49.0698350064444,-123.865213894188,20,NA
"110",49.0708108203187,-121.840785265557,115,NA
"111",49.0738415384414,-121.849779414848,100,NA
"112",49.0750703924229,-121.981723427982,46,NA
"113",49.0759771666537,-119.517786006958,276,NA
"114",49.0772411400539,-121.732043984206,202,NA
"115",49.077429180956,-121.706699726037,229,NA
"116",49.0782260107607,-121.708758689592,226,NA
"117",49.0787151783708,-121.878764377939,82,NA
"118",49.0791025623043,-121.9232620744,56,NA
"119",49.0794671787081,-121.744805555916,190,NA
"120",49.0795697224834,-121.720536975906,211,NA
"121",49.0800878841945,-123.862519975523,13,NA
"122",49.0806378403971,-122.04553247897,9,NA
"123",49.0827901458188,-121.455945867536,621,NA
"124",49.0832270421883,-122.850271033273,0,NA
"125",49.0833480833936,-122.317394760224,4,NA
"126",49.0904644828753,-125.517800966866,7,NA
"127",49.0905062412736,-121.595719800986,409,NA
"128",49.0908632376121,-125.725110966867,0,NA
"129",49.0911157519186,-122.036703809296,13,NA
"130",49.0913759691867,-125.600848842117,7,NA
"131",49.0913806560058,-122.044792954699,9,NA
"132",49.0917082885629,-121.47970756988,569,NA
"133",49.0917279204662,-124.131804918992,197,NA
"134",49.0918731822469,-124.228497491777,194,NA
"135",49.0919352632438,-121.473834897954,578,NA
"136",49.0929729289697,-121.958385197878,35,NA
"137",49.0929771935213,-122.032229827053,12,NA
"138",49.0953412771314,-125.200767046994,4,NA
"139",49.0957387350135,-122.029107043273,14,NA
"140",49.0958783657816,-121.567335595662,439,NA
"141",49.0961517685096,-121.963770094609,33,NA
"142",49.0969867850832,-121.565181135594,445,NA
"143",49.0974031942306,-125.832749746068,0,NA
"144",49.0977622709186,-122.030799875087,16,NA
"145",49.0985267519862,-121.995582401487,25,NA
"146",49.0987865415501,-122.025717862522,13,NA
