"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"335","Sockeye","Skeena","SEL-21-07",185,239.131578947368,239.131578947368,243.649943769681,278.236842105263,278.236842105263,275.626184458321,108,4,1
"336","Sockeye","Skeena","SEL-21-09",187,240.3,244.565217391304,249.16752117847,279.5,279,274.78955866234,163,8,1.5
"337","Sockeye","Skeena","SEL-21-11",189,236.552631578947,236.552631578947,236.923180291153,269.776595744681,269.776595744681,266.28535669587,64,2,1
"338","Sockeye","Skeena","SEL-22-01",190,254.546875,254.546875,254.546875,283.125,283.125,283.125,32,1,1.5
"339","Sockeye","Skeena","SEL-22-02",191,239.239583333333,239.239583333333,239.239583333333,269.441860465116,269.441860465116,269.441860465116,43,1,1
"340","Sockeye","Skeena","SEL-22-03",192,242.615384615385,242.615384615385,244.049395096073,277.5,277.5,273.242128935532,88,3,1
"341","Sockeye","Skeena","SEL-22-04",193,236.875,236.875,236.875,272.625,272.625,272.625,8,1,2
"342","Sockeye","Skeena","SEL-22-05",194,240.611111111111,240.611111111111,240.611111111111,263.142857142857,263.142857142857,263.142857142857,14,1,1.5
"343","Sockeye","Skeena","SEL-22-06",195,227,227,227,273,273,273,2,1,2
"344","Sockeye","Skeena","SEL-22-07",196,227,227,227,273,273,273,4,1,2
"345","Sockeye","Skeena","SEL-22-08",197,248.173076923077,248.173076923077,248.173076923077,272.354838709677,272.354838709677,272.354838709677,26,1,1.5
"346","Sockeye","Skeena","SEL-22-10",199,233,233,238.2,274.833333333333,274.833333333333,265.166666666667,7,2,2
"347","Sockeye","Skeena","SEL-22-11",200,NA,NA,NA,NA,NA,NA,0,0,3
"348","Sockeye","Skeena","SEL-22-12",201,242,242,242,268.866666666667,268.866666666667,268.866666666667,15,1,1
"349","Sockeye","Nass","SEL-23-01",418,195.970588235294,195.970588235294,195.970588235294,240.941176470588,240.941176470588,240.941176470588,34,1,1
"350","Sockeye","Nass","SEL-23-02",NA,198.2,198.2,198.2,240,240,240,5,1,2
"351","Sockeye","Skeena","SEL-24-01",420,222.190476190476,222.190476190476,222.190476190476,267.285714285714,267.285714285714,267.285714285714,21,1,1
"352","Sockeye","Nass","SEL-24-02",421,236.969696969697,236.969696969697,236.969696969697,265.212121212121,265.212121212121,265.212121212121,33,1,1
"353","Sockeye","Nass","SEL-24-03",422,235.225806451613,235.225806451613,235.225806451613,271.338709677419,271.338709677419,271.338709677419,31,1,1.5
"354","Sockeye","Nass","SEL-24-05",424,202.541666666667,202.541666666667,202.541666666667,300.625,300.625,300.625,24,1,1
"355","Sockeye","Nass","SEL-24-06",425,232,232,232,270,270,270,2,1,3
"356","Sockeye","AlaskaTransboundary","SEL-28-01",1027,NA,NA,NA,NA,NA,NA,0,0,3
"357","Sockeye","AlaskaTransboundary","SEL-28-02",1028,NA,NA,NA,NA,NA,NA,0,0,3
"358","Sockeye","AlaskaTransboundary","SEL-28-03",1029,NA,NA,NA,NA,NA,NA,0,0,3
"359","Sockeye","Fraser","SER-02",742,NA,NA,NA,NA,NA,NA,0,0,3
"360","Sockeye","Fraser","SER-03",745,NA,NA,NA,NA,NA,NA,0,0,3
"361","Sockeye","Fraser","SER-05",NA,245,245,249.3125,284.8125,284.8125,281.53125,10,3,2
"362","Sockeye","Fraser","SER-06",NA,NA,NA,NA,NA,NA,NA,0,0,3
"363","Sockeye","Vancouver Island & Mainland Inlets","SER-08",973,170.052631578947,223.666666666667,252.016389609471,349,319.5,286.832516101618,224,36,1
"364","Sockeye","Vancouver Island & Mainland Inlets","SER-09",971,162.666666666667,162.666666666667,236.946496713163,320,304,270.749101419414,91,17,1
"365","Sockeye","Vancouver Island & Mainland Inlets","SER-10",972,228.907407407407,258.5,277.986051078496,332,320,304.935409792502,312,78,1
"366","Sockeye","Vancouver Island & Mainland Inlets","SER-11",974,197,197,241.401515151515,319.5,298.3,276.895454545455,19,8,2
"367","Sockeye","Central Coast","SER-12",613,227.333333333333,227.333333333333,240.833333333333,281.333333333333,281.333333333333,271.416666666667,8,4,3
"368","Sockeye","HaidaGwaii","SER-13",816,197.1,197.1,250.586721611722,298.5,298.5,274.753733446041,36,7,1
"369","Sockeye","HaidaGwaii","SER-14",818,166,166,225.98,278.5,278.5,251.3,6,3,2
"370","Sockeye","HaidaGwaii","SER-15",817,196.65,196.65,196.65,220.45,220.45,220.45,10,1,1
"371","Sockeye","Central Coast","SER-16",614,217,223.3,247.828108357936,303,288.5,275.281220935344,375,61,1
"372","Sockeye","Central Coast","SER-17",615,166.181818181818,166.230769230769,210.065792293539,320,268,236.568243507582,171,20,1
"373","Sockeye","Skeena","SER-18",226,222.727272727273,222.727272727273,242.692336902863,288.5,288,264.472537878788,79,13,1.5
"374","Sockeye","Skeena","SER-19",216,250.5625,250.5625,250.5625,268.8125,268.8125,268.8125,16,1,2
"375","Sockeye","Nass","SER-20",426,186.5,192.857142857143,206.135114885115,289,273,239.376317432567,120,9,1
"376","Sockeye","Nass","SER-21",427,262.472222222222,262.472222222222,262.472222222222,296.78125,296.78125,296.78125,16,1,2
"377","Sockeye","AlaskaTransboundary","SER-22",1023,NA,NA,NA,NA,NA,NA,0,0,3
"378","Sockeye","AlaskaTransboundary","SER-24",1021,NA,NA,NA,NA,NA,NA,0,0,3
