PSF_CUIndex,NuSEDS_FULL_CU_IN,Comments
SEL-13-018,SEL-13-18,
SEL-13-019,SEL-13-19,
SEL-13-020,SEL-13-20,
,SEL-13-21,
SEL-13-022,SEL-13-22,
SEL-13-023,SEL-13-23,
SEL-13-025,SEL-13-25,
SEL-13-026,SEL-13-26,
,SEL-13-xx,
,SEL-15-01,
,SEL-15-02,
,SEL-15-03,
,SEL-15-04,
SEL-17-001,SEL-17-01,
SEL-17-002,SEL-17-02,
SEL-17-003,SEL-17-03,
SEL-17-004,SEL-17-04,
SEL-17-005,SEL-17-05,
SEL-17-006,SEL-17-06,
SEL-17-007,SEL-17-07,
SEL-17-008,SEL-17-08,
SEL-17-009,SEL-17-09,
SEL-17-010,,
,SEL-17-11,
,SEL-18-01,
,SEL-18-02,
,SEL-18-03,
,SEL-18-04,
,SEL-18-05,
,SEL-18-06,
,SEL-18-07,
,SEL-18-08,
,SEL-18-09,
,SEL-18-11,
,SEL-19-01,
,SEL-19-02,
,SEL-19-03,
,SEL-19-04,
,SEL-19-05,
,SEL-19-06,
,SEL-19-07,
,SEL-19-08,
,SEL-19-09,
,SEL-19-10,
,SEL-19-11,
,SEL-19-12,
,SEL-19-13,
,SEL-19-14,
,SEL-19-15,
,SEL-19-16,
,SEL-19-17,
,SEL-19-18,
,SEL-19-19,
,SEL-19-20,
,SEL-19-21,
,SEL-19-22,
,SEL-19-23,
,SEL-19-24,
,SEL-19-25,
,SEL-19-26,
,SEL-19-27,
,SEL-19-28,
,SEL-19-29,
,SEL-19-30,
,SEL-19-31,
,SEL-19-32,
,SEL-19-33,
,SEL-19-34,
,SEL-19-35,
,SEL-19-36,
,SEL-19-37,
,SEL-19-38,
,SEL-19-39,
,SEL-19-40,
,SEL-19-41,
,SEL-19-42,
,SEL-19-43,
,SEL-19-44,
,SEL-19-45,
,SEL-19-46,
,SEL-19-47,
,SEL-19-48,
,SEL-19-49,
,SEL-19-50,
,SEL-19-51,
,SEL-19-52,
,SEL-19-53,
,SEL-19-54,
,SEL-19-55,
,SEL-19-56,
,SEL-19-57,
,SEL-19-58,
,SEL-19-59,
,SEL-19-60,
,SEL-19-61,
,SEL-19-62,
,SEL-19-63,
,SEL-19-64,
,SEL-19-65,
,SEL-19-66,
,SEL-19-67,
,SEL-19-68,
,SEL-19-69,
,SEL-19-70,
,SEL-19-72,
L_20_01,SEL-20-01,
L_20_02,,
L_20_03,,
L_20_04,SEL-20-04,
L_20_05,SEL-20-05,
L_20_06,SEL-20-06,
L_20_07,SEL-20-07,
L_20_08,SEL-20-08,
L_21_01,,
L_21_02,SEL-21-02,
L_21_03,SEL-21-03,
L_21_04,,
L_21_05,SEL-21-05,
L_21_06,,
L_21_07,SEL-21-07,
L_21_08,,
L_21_09,SEL-21-09,
L_21_10,,
L_21_11,SEL-21-11,
,SEL-21-12,
,SEL-21-13,
L_22_01,SEL-22-01,
L_22_02,SEL-22-02,
L_22_03,SEL-22-03,
L_22_04,SEL-22-04,
L_22_05,SEL-22-05,
L_22_06,SEL-22-06,
L_22_07,SEL-22-07,
L_22_08,SEL-22-08,
L_22_09,SEL-22-09,
L_22_10,SEL-22-10,
L_22_11,SEL-22-11,
L_22_12,SEL-22-12,
,SEL-23-01,
,SEL-23-02,
,SEL-24-01,
,SEL-24-02,
,SEL-24-03,
,SEL-24-05,
,SEL-24-06,
SEL-25-001,,
SEL-26-001,SEL-26-01,
SEL-26-002,SEL-26-02,
SEL-26-003,SEL-26-03,
