"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"162","Pink","Haida Gwaii","PKO-9",813,234.166666666667,242.5,251.887381484013,293.75,289.777777777778,278.757913829014,375,55,1
"163","Sockeye","Columbia","SEL-01-01",1300,273.5,273.5,273.5,319.5,319.5,319.5,2,1,3
"164","Sockeye","Fraser","SEL-03-01",711,NA,NA,NA,NA,NA,NA,0,0,3
"165","Sockeye","Fraser","SEL-03-02",712,NA,NA,NA,NA,NA,NA,0,0,3
"166","Sockeye","Fraser","SEL-03-03",713,244.222222222222,244.222222222222,251.792063492064,291.2,291.2,285.966666666667,28,4,1.5
"167","Sockeye","Fraser","SEL-03-04",714,284.666666666667,284.666666666667,284.666666666667,345.666666666667,345.666666666667,345.666666666667,3,1,3
"168","Sockeye","Fraser","SEL-03-05",715,225,225,225,259.5,259.5,259.5,2,1,3
"169","Sockeye","Fraser","SEL-03-07",NA,NA,NA,NA,NA,NA,NA,0,0,3
"170","Sockeye","Fraser","SEL-03-xx",NA,217.666666666667,217.666666666667,276.261904761905,344,314.5,299.3,24,6,1
"171","Sockeye","Fraser","SEL-04-01",716,225.333333333333,225.333333333333,262.276132028295,318,318,297.971810196724,56,7,1
"172","Sockeye","Fraser","SEL-05-02",718,237.5,237.5,237.5,278.5,278.5,278.5,2,1,2
"173","Sockeye","Fraser","SEL-06-01",719,217,217,217,258,258,258,1,1,2
"174","Sockeye","Fraser","SEL-06-02",720,NA,NA,NA,NA,NA,NA,0,0,3
"175","Sockeye","Fraser","SEL-06-03",721,NA,NA,NA,NA,NA,NA,0,0,3
"176","Sockeye","Fraser","SEL-06-04",NA,248,248,248,268,268,268,3,2,2
"177","Sockeye","Fraser","SEL-06-05",NA,NA,NA,NA,NA,NA,NA,0,0,3
"178","Sockeye","Fraser","SEL-06-06",753,234.75,234.75,234.75,260.75,260.75,260.75,4,1,2
"179","Sockeye","Fraser","SEL-06-07",725,227,227,227,237,237,237,1,1,3
"180","Sockeye","Fraser","SEL-06-10",728,235.25,235.25,241.753333333333,272.25,272.25,266.866666666667,11,3,2
"181","Sockeye","Fraser","SEL-06-11",729,261,261,261,285.666666666667,285.666666666667,285.666666666667,3,1,2
"182","Sockeye","Fraser","SEL-06-13",731,248,248,249.5,268,268,264,3,2,3
"183","Sockeye","Fraser","SEL-06-14",732,206,206,223.631944444444,305,278,243.416666666667,37,23,2
"184","Sockeye","Fraser","SEL-06-16",734,212,212,212,251.571428571429,251.571428571429,251.571428571429,7,1,2
"185","Sockeye","Fraser","SEL-06-18",NA,NA,NA,NA,NA,NA,NA,0,0,3
"186","Sockeye","Fraser","SEL-06-20",727,NA,NA,NA,NA,NA,NA,0,0,3
"187","Sockeye","Fraser","SEL-07-01",735,228,228,228,259,259,259,1,1,2
"188","Sockeye","Fraser","SEL-07-02",NA,NA,NA,NA,NA,NA,NA,0,0,3
"189","Sockeye","Fraser","SEL-09-02",738,272.125,272.125,279.391666666667,322.333333333333,322.333333333333,318.789502164502,21,5,1
"190","Sockeye","Fraser","SEL-09-03",739,275,275,278.604166666667,325.5,325.5,312.240740740741,12,5,2
"191","Sockeye","Fraser","SEL-09-xx",751,263,263,263,285.071428571429,285.071428571429,285.071428571429,7,1,2
"192","Sockeye","Fraser","SEL-10-01",740,236,236,251.25,289.5,289.5,270.35,14,5,1
"193","Sockeye","Fraser","SEL-10-03",752,227.96,227.96,227.96,255.962962962963,255.962962962963,255.962962962963,25,1,1
"194","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-01",927,230.03125,230.03125,230.03125,295.833333333333,295.833333333333,295.833333333333,15,1,1
"195","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-02",928,199.35,199.35,199.35,238.095238095238,238.095238095238,238.095238095238,20,1,1
